GATE_HI_VS: -1913.227><760.8013><-1368.162><651.1685><2><><48><35
GATE_SL_VS: 4547.773><-770.1975><3009.839><-528.8312><0><><48><35
GATE_SB_VS: -2419.566><-918.3405><-1608.45><-697.493><2><><48><35
GATE_SI_VS: -232.367><1320.881><-94.65311><1065.827><0><><48><35
VS_B01: -1922.227><556.8027><-1374.162><417.1693><2><><48><72
VS_A02: -1761.378><513.2532><-1235.41><442.1194><2><><48><35
VS_A01: -753.9788><670.0525><-486.4124><583.9185><1><Pipeyard><48><35
VS_S04: -621.5153><623.0278><-370.0218><588.1057><1><><48><35
VS_B02: -1606.878><571.4192><-1115.077><440.6194><1><Pipeyard><50><74
VS_C04: -1250.706><638.0721><-952.7214><640.4741><1><Pipeyard><149><35
VS_S01: -1471.451><471.4191><-1242.933><298.9048><1><><48><35
VS_A03: -1376.451><550.9192><-966.5604><381.2802><1><Pipeyard><48><35
VS_B03: -1391.451><378.4751><-970.1174><170.724><1><Pipeyard><48><76
VS_C01: -1071.846><284.6758><-690.0173><140.4245><1><Pipeyard><148><35
VS_D01: -1042.94><429.2204><-712.2905><260.6063><2><Pipeyard><48><150
VS_A05: -1244.154><585.2447><-831.1709><476.1984><2><Pipeyard><48><35
VS_A14: -1415.339><600.0207><-948.874><514.5846><2><Pipeyard><48><35
VS_B04: -832.2747><516.9709><-476.7064><376.0226><2><Pipeyard><48><75
VS_C02: -1352.384><280.4386><-840.1738><155.2191><2><Pipeyard><48><112
VS_A04: -331.064><495.1656><-19.26441><335.9912><2><Pipeyard><48><35
VS_S20: -469.7369><487.5><-134.7895><356.5132><2><><48><35
VS_B07: -785.3256><194.1232><-591.0907><269.2528><2><Pipeyard><48><77
VS_B08: -657.0747><502.7892><-375.3817><371.5857><2><Pipeyard><48><75
VS_H02: -491.4762><263.2218><-250.983><-96.89412><1><Pipeyard><48><302
VS_C03: -722.4387><404.8877><-360.2046><52.69823><1><Pipeyard><48><112
VS_C05: -111.1047><667.6725><-134.5216><485.6075><1><Pipeyard><150><35
VS_B09: 238.3789><542.8337><134.2939><353.5981><1><Pipeyard><96><35
VS_A06: -922.5272><631.8957><-596.6135><580.3792><1><Pipeyard><48><35
VS_C06: 449.6849><576.1988><348.5085><352.834><0><Pipeyard><48><112
VS_C13: 89.07142><704.0663><25.0449><608.7692><0><Pipeyard><151><35
VS_E07: -237.7492><969.4839><-90.43259><634.7393><0><><48><187
VS_S09: -352.063><1356.795><-205.9286><1063.901><0><><48><35
VS_B10: 655.98><760.5815><464.2436><430.7166><0><Pipeyard><48><72
VS_A07: 827.935><711.8025><589.4274><467.8817><0><><48><35
VS_S05: 965.3774><718.5525><702.9003><471.6595><0><><48><35
VS_B11: 745.2867><463.6146><584.8873><217.53><0><><48><78
VS_A08: 554.1021><395.5351><464.3094><199.793><0><><48><35
VS_C07: 151.7941><430.5607><114.7711><214.4344><1><><149><35
VS_B12: -194.7555><384.2107><-120.8043><209.7343><2><><101><35
VS_F01: -449.9008><-293.4783><-326.0786><-309.0675><1><><148><72
VS_C09: -115.9972><77.32977><-124.5208><-80.16349><2><><48><112
VS_D04: -28.46885><-315.0479><-3.860449><-284.8806><1><><101><75
VS_A13: -114.2464><-144.9735><-13.00863><-85.02879><1><><48><35
VS_S07: -11.53697><-117.301><96.75475><-66.39254><1><><48><35
VS_B16: 323.088><-465.0155><216.5047><-317.3211><1><><101><35
VS_D02: 4124.953><-785.3372><2592.759><-539.6697><0><Sump Tunnel><199><35
VS_S02: 4188.453><-695.9091><2764.373><-426.2458><0><><48><35
VS_B05: 3629.727><-780.5761><2375.783><-542.5552><0><Sump Tunnel><98><38
VS_E01: 3064.663><-785.1378><1856.094><-541.4302><0><Sump Tunnel><249><35
VS_D05: 1867.581><-805.3201><1121.53><-556.2427><0><Sump Tunnel><198><35
VS_D03: 691.3655><-535.4487><438.5617><-428.7534><1><><101><72
VS_A09: 909.4341><-557.7816><657.3234><-355.1107><0><Sump Tunnel><48><35
VS_A10: 1122.32><-555.6892><775.6713><-341.4131><0><Sump Tunnel><48><35
VS_B13: 1133.253><-710.4157><773.9213><-563.2997><0><Sump Tunnel><48><72
VS_S06: 996.2956><-750.7047><655.5438><-490.5218><0><><48><35
VS_B14: 1379.361><-772.1397><898.1741><-552.3481><0><Sump Tunnel><101><35
VS_A11: 1287.956><-709.0117><894.4722><-421.2628><0><Sump Tunnel><48><35
VS_A12: 1506.833><-681.5327><1010.828><-420.3253><0><Sump Tunnel><48><35
VS_A15: 1716.052><-651.6133><1157.337><-419.0114><0><Sump Tunnel><48><35
VS_B15: 1397.201><-592.9406><900.1525><-295.7126><0><Sump Tunnel><101><35
VS_C08: 2431.039><-766.3806><1536.295><-529.7928><0><Sump Tunnel><148><35
VS_B18: 2010.552><-694.4467><1315.629><-435.5948><0><Sump Tunnel><101><35
